8799,39
8924,33
9049,17
9174,2
9295,-13
9420,-29
9546,-40
9671,-51
9796,-66
9921,-77
10046,-86
10171,-93
10296,-98
10421,-99
10547,-100
10672,-100
10797,-97
10921,-96
11046,-93
11171,-87
11296,-80
11421,-73
11547,-58
11672,-37
11797,-9
11920,21
12045,36
12170,34
12295,20
12420,7
12542,-5
12665,-15
12790,-24
12915,-33
13040,-42
13165,-48
13290,-54
13415,-57
13541,-59
13666,-53
13791,-49
13916,-47
14041,-44
14166,-40
14290,-37
14415,-33
14541,-28
14666,-23
14791,-14
14916,-3
15039,13
15164,21
15289,19
15414,13
15540,7
15663,4
15785,2
15908,-1
16031,-4
16153,-5
16275,-7
16397,-10
16523,-12
16648,-15
16773,-19
16898,-22
17022,-23
17147,-25
17272,-26
17397,-28
17523,-30
17648,-31
17773,-32
17898,-31
18023,-30
18148,-28
18273,-24
18398,-21
18524,-18
18649,-15
18774,-12
18898,-8
19021,-4
19143,0
19265,4
19387,10
19513,14
19638,15
19763,15
19888,13
20013,12
20137,9
20259,6
20381,4
20504,2
20627,-2
20750,-5
20873,-9
20996,-13
21121,-15
21245,-19
21370,-20
21496,-22
21621,-22
